,stock,from,to,from_w,to_w,cash,price
2016-10-26 14:59:19,SZ000757,0.0,1.693,0.0,19.0,4.85604765,12.01
2016-10-24 14:59:46,SZ300423,1.40931712,0.0,15.74,0.0,6.54908257,40.4
2016-10-24 14:18:43,SZ300030,0.0,2.2183,0.0,25.0,5.15767466,17.55
2016-10-21 14:02:36,SZ300423,0.0,1.317,0.0,15.0,7.37597535,38.24
2016-10-21 11:06:48,SZ000151,2.45032235,0.0,28.24,0.0,8.69299115,18.71
2016-10-20 14:02:01,SZ000151,0.0,2.4503,0.0,28.0,6.21351408,18.49
2016-10-19 13:53:34,SH601398,0.0,0.0875,0.0,1.0,8.66383643,4.41
2016-10-19 10:04:19,SZ002622,1.72181463,0.0,19.8,0.0,6.99231509,12.44
2016-10-18 14:48:51,SZ002073,0.0,1.7464,0.0,20.0,5.17569263,12.45
2016-10-14 13:36:04,SZ002622,0.0,1.7524,0.0,20.0,6.9221028,12.61
2016-10-13 10:14:30,SZ000570,1.83066647,0.0,20.83,0.0,8.67449041,9.59
2016-10-13 09:55:07,SZ000613,1.49259828,0.0,17.1,0.0,6.84953288,14.79
2016-10-11 14:58:14,SZ000613,0.0,1.4926,0.0,17.0,5.34983665,14.72
2016-10-11 14:40:52,SZ000570,0.0,1.8421,0.0,21.0,6.84243493,9.68
2016-10-11 10:45:43,SZ000166,0.79411009,0.0877,9.04,1.0,8.68451927,6.4
2016-10-10 14:59:02,SZ300107,0.0902922,0.0,1.06,0.0,6.48120505,7.95
2016-10-10 10:56:03,SZ000166,0.0,0.7867,0.0,9.0,4.74336254,6.35
2016-10-10 10:11:57,SZ002494,0.0,1.4755,0.0,17.0,5.53003946,16.25
2016-09-30 10:30:19,SZ002545,1.71593246,0.0,20.54,0.0,7.00550533,10.23
2016-09-29 14:28:04,SZ002545,0.0,1.7159,0.0,20.0,5.21974856,9.83
2016-09-28 14:35:35,SZ300492,0.0,1.5413,0.0,18.0,6.93568102,49.44
2016-09-27 11:17:36,SZ300107,1.6793873,0.0856,19.53,1.0,8.47696906,7.34
2016-09-26 14:29:08,SH600986,2.03444049,0.0,22.78,0.0,6.89004374,18.64
2016-09-22 14:58:24,SZ300107,0.0,1.7432,0.0,20.0,4.93832111,7.65
2016-09-22 10:02:31,SH600383,2.15012344,0.0,25.57,0.0,6.68151146,12.54
2016-09-20 10:35:15,SZ002797,1.10795955,0.0,12.97,0.0,4.45135861,34.35
2016-09-19 14:28:32,SH600986,0.0,1.9674,0.0,23.0,3.34275358,18.79
2016-09-19 10:43:56,SH600289,1.73488761,0.0,20.26,0.0,5.31018213,15.39
2016-09-19 09:51:58,SZ002797,0.0,1.1128,0.0,13.0,3.57642107,34.48
2016-09-14 09:57:23,SH600289,0.0,1.7067,0.0,20.0,4.68922169,15.15
2016-09-13 14:59:34,SH601601,1.71676773,0.0,19.95,0.0,6.39594554,28.39
2016-09-13 11:02:20,SZ000751,0.08140968,0.0,0.95,0.0,4.69059089,5.5
2016-09-12 14:12:01,SH601601,0.0,1.706,0.0,20.0,3.19794352,28.4
2016-09-12 13:30:30,SH600383,0.0,2.1359,0.0,25.0,4.90389886,12.01
2016-09-09 14:33:17,SZ300208,0.0,1.4594,0.0,17.0,7.03979485,16.37
2016-09-09 10:36:22,SZ000751,1.53774254,0.0859,17.82,1.0,8.49917331,5.8
2016-09-08 10:25:27,SZ002749,1.77953566,0.0,21.19,0.0,7.05519388,93.0
2016-09-07 14:56:55,SZ002652,1.29265357,0.0,14.81,0.0,5.23454683,13.62
2016-09-07 10:14:13,SZ300002,0.94932211,0.0,10.98,0.0,3.96793233,11.39
2016-09-06 14:01:04,SZ300002,0.0,0.9493,0.0,11.0,3.01944296,11.4
2016-09-06 13:38:54,SZ000751,0.0,1.5483,0.0,18.0,3.96876507,5.87
2016-09-05 14:49:02,SZ002749,0.0,1.6973,0.0,20.0,5.51705816,86.7
2016-09-05 11:14:31,SH603108,1.02491033,0.0,11.97,0.0,7.21437105,31.1
2016-09-05 11:01:11,SZ300110,1.26474816,0.0,15.54,0.0,5.73894194,17.97
2016-09-02 14:11:04,SZ300110,0.0,1.2647,0.0,15.0,4.41757424,17.2
2016-08-31 13:50:33,SZ000935,1.10878085,0.0,12.82,0.0,5.6823224,10.46
2016-08-30 11:22:49,SZ000935,0.0,1.1088,0.0,13.0,4.5912737,10.63
2016-08-29 14:37:37,SZ002652,0.0,1.7872,0.0,21.0,5.70005455,14.12
2016-08-29 13:48:51,SH600804,1.54360033,0.0,18.06,0.0,7.48726926,20.93
2016-08-26 14:25:23,SH603108,0.0,1.529,0.0,18.0,5.33895357,30.87
2016-08-26 13:49:55,SZ300523,1.24121117,0.0,14.42,0.0,6.86796689,172.5
2016-08-26 11:01:38,SZ300002,1.34467355,0.0,17.2,0.0,5.64602347,11.12
2016-08-25 13:48:01,SH600804,0.0,1.5128,0.0,18.0,4.18436464,20.6
2016-08-25 10:16:09,SZ300523,0.0,1.2574,0.0,15.0,7.04179589,177.5
2016-08-23 13:51:14,SZ002073,1.51438283,0.0,17.7,0.0,8.29915796,11.11
2016-08-22 10:49:21,SZ002073,0.0,1.5144,0.0,18.0,6.81549012,11.34
2016-08-19 11:10:08,SZ002142,1.34610968,0.0841,16.01,1.0,8.32987295,16.29
2016-08-19 10:36:51,SZ002142,2.11570312,1.3461,25.16,16.0,7.06707655,16.28
2016-08-19 10:11:01,SH600569,2.49895281,0.0,29.58,0.0,3.84766738,2.84
2016-08-18 10:40:46,SH600853,1.35993753,0.0,16.15,0.0,1.35748282,5.53
2016-08-17 13:54:32,SH600219,1.18015911,2.4074,14.0,28.53,5e-08,8.19
